Model,Metric,Dataset,Score
Elastic Net,Accuracy,Train,0.6391304347826087
Elastic Net,Accuracy,Validation,0.6637931034482759
Elastic Net,Accuracy,Train,0.6334056399132321
Elastic Net,Accuracy,Validation,0.6521739130434783
Elastic Net,Accuracy,Train,0.6420824295010846
Elastic Net,Accuracy,Validation,0.6347826086956522
Elastic Net,Accuracy,Train,0.6377440347071583
Elastic Net,Accuracy,Validation,0.6347826086956522
Elastic Net,Accuracy,Train,0.6442516268980477
Elastic Net,Accuracy,Validation,0.6260869565217392
Elastic Net,Precision,Train,0.5454545454545454
Elastic Net,Precision,Validation,0.7142857142857143
Elastic Net,Precision,Train,0.4
Elastic Net,Precision,Validation,1.0
Elastic Net,Precision,Train,1.0
Elastic Net,Precision,Validation,0.0
Elastic Net,Precision,Train,0.0
Elastic Net,Precision,Validation,0.0
Elastic Net,Precision,Train,1.0
Elastic Net,Precision,Validation,0.0
Elastic Net,Recall,Train,0.03592814371257485
Elastic Net,Recall,Validation,0.11904761904761904
Elastic Net,Recall,Train,0.011904761904761904
Elastic Net,Recall,Validation,0.024390243902439025
Elastic Net,Recall,Train,0.011976047904191617
Elastic Net,Recall,Validation,0.0
Elastic Net,Recall,Train,0.0
Elastic Net,Recall,Validation,0.0
Elastic Net,Recall,Train,0.017964071856287425
Elastic Net,Recall,Validation,0.0
Elastic Net,Specificity,Train,0.9829351535836177
Elastic Net,Specificity,Validation,0.972972972972973
Elastic Net,Specificity,Train,0.9897610921501706
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,1.0
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,1.0
Elastic Net,Specificity,Validation,1.0
Elastic Net,Specificity,Train,1.0
Elastic Net,Specificity,Validation,0.9863013698630136
Elastic Net,F1-Score,Train,0.06741573033707865
Elastic Net,F1-Score,Validation,0.20408163265306123
Elastic Net,F1-Score,Train,0.023121387283236993
Elastic Net,F1-Score,Validation,0.047619047619047616
Elastic Net,F1-Score,Train,0.023668639053254437
Elastic Net,F1-Score,Validation,0.0
Elastic Net,F1-Score,Train,0.0
Elastic Net,F1-Score,Validation,0.0
Elastic Net,F1-Score,Train,0.03529411764705882
Elastic Net,F1-Score,Validation,0.0
Elastic Net,ROC-AUC,Train,0.6102368641556477
Elastic Net,ROC-AUC,Validation,0.5768983268983269
Elastic Net,ROC-AUC,Train,0.6017288314643263
Elastic Net,ROC-AUC,Validation,0.5784442979564931
Elastic Net,ROC-AUC,Train,0.5935475986801907
Elastic Net,ROC-AUC,Validation,0.5932811480756687
Elastic Net,ROC-AUC,Train,0.5847794207503361
Elastic Net,ROC-AUC,Validation,0.6369863013698631
Elastic Net,ROC-AUC,Train,0.6113589148234144
Elastic Net,ROC-AUC,Validation,0.5505544683626875
Elastic Net,PR-AUC,Train,0.4585382962815222
Elastic Net,PR-AUC,Validation,0.5085831123533402
Elastic Net,PR-AUC,Train,0.4550802677215329
Elastic Net,PR-AUC,Validation,0.507980079101262
Elastic Net,PR-AUC,Train,0.47488370073531516
Elastic Net,PR-AUC,Validation,0.42582266869643876
Elastic Net,PR-AUC,Train,0.4602493345748688
Elastic Net,PR-AUC,Validation,0.4878976478718414
Elastic Net,PR-AUC,Train,0.4819298277336437
Elastic Net,PR-AUC,Validation,0.41196715694409985
Elastic Net,Accuracy,Test,0.6388888888888888
Elastic Net,Precision,Test,0.0
Elastic Net,Recall,Test,0.0
Elastic Net,Specificity,Test,1.0
Elastic Net,F1-Score,Test,0.0
Elastic Net,ROC-AUC,Test,0.5836120401337793
Elastic Net,PR-AUC,Test,0.48341507090860764
SVM,Accuracy,Train,0.3630434782608696
SVM,Accuracy,Validation,0.3620689655172414
SVM,Accuracy,Train,0.6355748373101953
SVM,Accuracy,Validation,0.6434782608695652
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Accuracy,Train,0.6377440347071583
SVM,Accuracy,Validation,0.6347826086956522
SVM,Precision,Train,0.3630434782608696
SVM,Precision,Validation,0.3620689655172414
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Precision,Train,0.0
SVM,Precision,Validation,0.0
SVM,Recall,Train,1.0
SVM,Recall,Validation,1.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Recall,Train,0.0
SVM,Recall,Validation,0.0
SVM,Specificity,Train,0.0
SVM,Specificity,Validation,0.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,Specificity,Train,1.0
SVM,Specificity,Validation,1.0
SVM,F1-Score,Train,0.532695374800638
SVM,F1-Score,Validation,0.5316455696202531
SVM,F1-Score,Train,0.0
SVM,F1-Score,Validation,0.0
SVM,F1-Score,Train,0.0
SVM,F1-Score,Validation,0.0
SVM,F1-Score,Train,0.0
SVM,F1-Score,Validation,0.0
SVM,F1-Score,Train,0.0
SVM,F1-Score,Validation,0.0
SVM,ROC-AUC,Train,0.5923954139502565
SVM,ROC-AUC,Validation,0.5765765765765765
SVM,ROC-AUC,Train,0.5890622460588331
